200;1
201;1
202;1
203;1
204;1
205;1
206;2
207;2
208;2
209;3
210;3
211;4
212;5
213;6
214;7
215;8
216;9
217;9
218;9
219;9
220;9
221;9
222;10
223;10
224;10
225;11
226;11
227;12
228;12
229;12
230;13
231;13
232;13
233;13
234;13
235;13
236;13
237;14
238;14
239;14
240;15
241;15
242;15
243;16
244;17
245;18
246;19
247;20
248;21
249;22
250;23
251;24
252;25
253;26
254;26
255;26
256;26
257;27
258;27
259;28
260;29
261;29
262;29
263;29
264;29
265;29
266;30
267;30
268;30
269;30
270;30
271;30
272;30
273;31
274;31
275;31
276;32
277;32
278;32
279;33
280;33
281;33
282;33
283;33
284;33
285;34
286;34
287;34
288;34
289;35
290;35
291;35
292;35
293;35
294;35
295;36
296;36
297;36
298;37
299;37
