1;65;1
2;64;1
3;91;0
4;49;0
5;44;1
6;45;1
7;3;0
8;6;1
9;66;0
10;27;0
11;59;0
12;18;0
13;27;0
14;99;0
15;25;0
16;61;0
17;48;0
18;19;0
19;63;0
20;73;1
21;21;0
22;26;1
23;41;1
24;64;1
25;44;1
26;2;1
27;83;1
28;50;1
29;23;1
30;51;1
31;26;1
32;47;1
33;77;1
34;63;1
35;87;1
36;89;1
37;42;1
38;70;1
39;15;0
40;97;0
41;70;0
42;38;1
43;37;1
44;85;1
45;41;1
46;71;0
47;55;0
48;97;0
49;51;0
50;10;1
51;94;0
52;97;0
53;48;1
54;94;0
55;55;1
56;75;0
57;92;0
58;73;1
59;47;1
60;1;1
61;57;1
62;60;1
63;2;1
64;24;0
65;50;1
66;96;1
67;69;1
68;14;0
69;21;1
70;75;1
71;54;1
72;75;1
73;28;1
74;64;1
75;33;0
76;65;0
77;97;0
78;29;1
79;31;0
80;37;1
81;74;0
82;22;0
83;73;1
84;94;0
85;67;1
86;84;0
87;15;1
88;68;0
89;43;0
90;67;1
91;17;1
92;16;0
93;10;0
94;15;0
95;34;1
96;41;0
97;82;0
98;97;0
99;66;0
100;11;1
101;126;0
102;158;1
103;168;1
104;179;0
105;187;1
106;127;0
107;143;0
108;114;0
109;144;1
110;153;0
111;129;1
112;158;1
113;142;0
114;123;0
115;185;0
116;200;0
117;111;0
118;157;1
119;106;0
120;188;0
121;122;1
122;166;1
123;115;0
124;166;1
125;120;0
126;191;1
127;139;0
128;110;1
129;179;0
130;102;1
131;139;1
132;144;0
133;102;0
134;166;1
135;184;1
136;192;1
137;160;1
138;121;1
139;108;0
140;128;1
141;106;0
142;112;0
143;120;0
144;176;0
145;165;0
146;132;0
147;161;1
148;135;1
149;151;1
150;133;1
151;130;0
152;182;0
153;102;1
154;182;0
155;141;1
156;130;0
157;164;1
158;178;1
159;158;0
160;117;0
161;165;1
162;126;0
163;165;0
164;139;0
165;189;1
166;153;0
167;109;1
168;147;0
169;169;0
170;191;1
171;171;1
172;196;0
173;124;0
174;106;0
175;152;1
176;122;0
177;156;0
178;146;0
179;143;1
180;168;0
181;127;1
182;179;1
183;198;1
184;118;0
185;182;1
186;168;0
187;155;1
188;157;1
189;200;1
190;187;0
191;166;1
192;182;0
193;158;0
194;163;0
195;181;1
196;188;1
197;166;0
198;147;0
199;158;0
200;131;0
